(FileInfo(path=PosixPath('/Users/canadytw/Documents/GeraldCottrill-Conversation.pdf'), size=43556, hash='42913decc0c427e31860fcb2d52add615f894f899e775cf924a8cc41984e4455', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/GeraldCottrill-Conversation.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/SENG593-1.mdzip'), size=59475, hash='c8a25d17ec2a42d9c155b7131781f51cd4f085d676af987f3c5916cf010db1dc', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/SENG593-1.mdzip'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/MarinesHymn-JenniferWagner.m4a'), size=386514, hash='b694abda2434bc5cb71a3b2f18500fcd801ccae3b58f1b7c23062b0595af9a6e', type='audio', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/audio/MarinesHymn-JenniferWagner.m4a'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/history5.txt'), size=21824, hash='71d23474678f4e20384b4062e70ce1f25f185602b2c1e1ac3fdf607ae3c06daa', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/history5.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/GMT20240119-000004_Recording_2880x1920.mp4'), size=160106034, hash='METADATA_ONLY', type='video', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/video/GMT20240119-000004_Recording_2880x1920.mp4'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/2023-2024 Standalone Confirmation | FAFSA Application | Federal Student Aid.pdf'), size=69241, hash='a61e50be2810f49206b7efe67fb67413da4baa94c984aefacce9a8d0c51a34d9', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/2023-2024 Standalone Confirmation | FAFSA Application | Federal Student Aid.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/tictactoe.cl'), size=7406, hash='ac74d710d1b5d8982879750d38e9e76b886756bef8c0ac8033ddbb8c92aaa096', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/tictactoe.cl'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/history1.txt'), size=6966, hash='005e2563ebe4454876a301d85a093ef17e9963b7fe9e80e726ce914759e81f7e', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/history1.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Chrome Passwords.csv'), size=37445, hash='ccee00f59547d3707c46bb5d184bc15573dfb6c3d3791e98014573ad6f7a7838', type='spreadsheet', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/spreadsheet/Chrome Passwords.csv'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/mountnfs.sh'), size=1574, hash='7af0a7ea8355b3250692fdff2fd94a104a567551ddf07c5e7de80d4d6871635c', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/mountnfs.sh'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Calendar - 06Feb2023.pdf'), size=63184, hash='fca1ca448bd7bc4fd2a6f2a5e5d6dd8feb688ed4c2e00a27d05ca39d97c6147d', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Calendar - 06Feb2023.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Blue_Team_Tools__1678251924.pdf'), size=9504129, hash='9b6d72b6dd37c3aab83725cc85464298eeaf8863fc024ec9f73ebfcc7553fd8e', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Blue_Team_Tools__1678251924.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Backups_StdOut.log'), size=81295978155, hash='METADATA_ONLY', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Backups_StdOut.log'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Book_LNCSE_66.pdf'), size=9984126, hash='fd8df97d17d179cf87f4ce6b96f5c29c10b7bbef061489d8e9476c30c504e5d2', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Book_LNCSE_66.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Settings_RT-AX88U.CFG'), size=62472, hash='cd1bdabb9ebb29497e17e76550307683e308baee197b551ee0c78715d947031a', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/Settings_RT-AX88U.CFG'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/history2.txt'), size=6552, hash='bfeaf3f6d402e06e855d626cd53ee6a5a15c785089cbab024221858b951f35c3', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/history2.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Invoice_INVCRCA2101.pdf'), size=108707, hash='f72b6b92d749be6dd418370c29e5da79964fdcb8d95487eedccaecc8a59e3b12', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Invoice_INVCRCA2101.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/text 2.txt'), size=7, hash='09f58d1304706feebce04aa506801f3aad074cc61b47d00cddb8f69531fcb424', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/text 2.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/AVD_SlickSheet.docx'), size=847392, hash='8ddd047253f5e239b251612895100506fe5fb44eceb7b4c1eb8638f6fda6258c', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/AVD_SlickSheet.docx'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/.localized'), size=0, hash='e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/.localized'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/history3.txt'), size=21375, hash='6ba74af00086989c7c4440f2b53197342c5ae1cf4caef045ed14ec38d77cbe8f', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/history3.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Chrome Passwords 2.txt'), size=37445, hash='ccee00f59547d3707c46bb5d184bc15573dfb6c3d3791e98014573ad6f7a7838', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Chrome Passwords 2.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/2675133.2675245.pdf'), size=1588762, hash='3ff4d987ece329abcf11fe9dff81c0458cbd62953556747ae742490e7c3006b1', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/2675133.2675245.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/2023-2024 Sign and Submit Confirmation | FAFSA Application | Federal Student Aid.pdf'), size=83699, hash='e6aceda3d24ffb6a18c8d62bc69f424c03724ca6b65b6b5baf9d713381156ec6', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/2023-2024 Sign and Submit Confirmation | FAFSA Application | Federal Student Aid.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/DSC_0906.JPG'), size=605800, hash='62c329808cabbbbd77e47d4923a33661c3c3bf3a1e27baa7648feb54756cf80e', type='image', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/image/DSC_0906.JPG'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/tictactoe.fasl'), size=16750, hash='c057cf45416f44935cf6ba2fb6d2a9d113c391c027898b5b28e5662e1044b5bc', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/tictactoe.fasl'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/remove_spaces.sh'), size=206, hash='325ee40056d65b5eb8a4f9ec915db24646c6033e569ac730ec7a8135c87984f7', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/remove_spaces.sh'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/adt7aio_series (1).pdf'), size=2371741, hash='d0fdcec141b687975a5a803b24f0c5aa97bd410553a824d6c99ad6678a5b0d0c', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/adt7aio_series (1).pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/mac-scan-script.sh'), size=1503, hash='3d36d60e8fb53c3c9da96ba593175940540e51094a402ac0f26cd0095717475e', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/mac-scan-script.sh'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/2023-2024 Application Summary | FAFSA Application | Federal Student Aid.pdf'), size=172336, hash='6ebf7554c0d8a498a71ebaf662c990e724bebd683f2904d1365b56e6c0ed1325', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/2023-2024 Application Summary | FAFSA Application | Federal Student Aid.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/https-:oh-web.s3licensing.com:Print:License:46b3899b-ced1-4455-a6b6-8c527e1a2384.pdf'), size=381526, hash='f19bca4e33e7f1fd6f020dddbcb533cb23b043842dfba8496a5c64d8f99d8f47', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/https-:oh-web.s3licensing.com:Print:License:46b3899b-ced1-4455-a6b6-8c527e1a2384.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/datafile(1).csv'), size=11677, hash='c61298346f6104fce57ec39072fba3d37246991c6e89ff1275da58c6a82fe95a', type='spreadsheet', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/spreadsheet/datafile(1).csv'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/IMacPro-SystemReport.txt'), size=19018, hash='2f625a6a426550e61bec7c026e3c443ea467334f9bec0b94e80db480fd4dc27b', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/IMacPro-SystemReport.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/DSC_0905.JPG'), size=430978, hash='a2bebb965157d9e7b936dd84bcfaa944b1dae90abb7fae04cc30f95005715df2', type='image', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/image/DSC_0905.JPG'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Audio_49522.wma'), size=1146760, hash='cb5f1f9fa48e68b1a7244419397b327a7da1f7d939f96a3114104bf5eceb8a33', type='audio', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/audio/Audio_49522.wma'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Maratac Titanium Automatic 500M Alto Mare 42mm 9075 GMT.docx'), size=47717664, hash='b505ca75082c452b48ca08d3d3f17c594e18a1e546e6bf5e4171ed76a31692d8', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Maratac Titanium Automatic 500M Alto Mare 42mm 9075 GMT.docx'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/tic-tac-toe.lisp'), size=7587, hash='f50b7005b28e344a25066162687a0a4882054382be5ea4438b736181423d9991', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/tic-tac-toe.lisp'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Audio_49523.wma'), size=1016000, hash='0bc7b453c34dfe2c34a1bee0c15accd0a0b6c3769e6157e65c5cdb0720dc9583', type='audio', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/audio/Audio_49523.wma'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/1466_purchases.csv'), size=29356, hash='7efc59be451454a123ba2782f764d9e391166a0dae722444b74eb68589cb934f', type='spreadsheet', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/spreadsheet/1466_purchases.csv'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/WSU_IntroToEW_ES_Lab_Solutions.zip'), size=3311, hash='e6230280f4fb0fa2d53181ebbc95391d46b979ad4f3808b1939265e337051939', type='archive', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/archive/WSU_IntroToEW_ES_Lab_Solutions.zip'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Freedom Tremor – DiamondBack Covers.jpeg.png'), size=7532042, hash='a771ef789b0d9fbb9fb558cd306084c150d47117ff663863fe4d6554f1406ecf', type='image', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/image/Freedom Tremor – DiamondBack Covers.jpeg.png'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/DSC_0900.JPG'), size=555545, hash='d61a87bbd7b286543d38cb3c619ed15183df21255e9740a779c4046b23d2830c', type='image', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/image/DSC_0900.JPG'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/AY24 How We Select for CD Charts (Enterprise _ Functional Plus).pdf'), size=194172, hash='97debdda4ffc2ecc02575a94e52466b36166587e80cb602be82111e53ffa8a06', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/AY24 How We Select for CD Charts (Enterprise _ Functional Plus).pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/VIP_Auction_Report_07.29.25_07.30.25 copy.xlsx'), size=321345, hash='4266782267fb084902c6725791e76d82e32003cd64d60edf6c36818780dbabdf', type='spreadsheet', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/spreadsheet/VIP_Auction_Report_07.29.25_07.30.25 copy.xlsx'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/xaa'), size=2972, hash='5c4edf3f0ce4e737aa449527d2b117fcff047e2a81070e959fb7fb8618b09f23', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/xaa'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/ogallerie_collection-of-five-wristwatches.docx'), size=2340361, hash='7a3945c7e144872165939e82997c3b3ad3ed25ce6abde443d2173ddde9818146', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/ogallerie_collection-of-five-wristwatches.docx'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/datafile.csv'), size=6343, hash='4f1c50d1f141b000130e9262ba34d3684a819594cbdf7ebeb58fbe1ce841e156', type='spreadsheet', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/spreadsheet/datafile.csv'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/xcode26.sh'), size=899, hash='f8e0ba72495b2032a83048b46fe616d57fae77d1c261148f637c5f72279457df', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/xcode26.sh'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/cookies.sqlite'), size=1048576, hash='8e4110e5acc6a725386844a734c5ed31822e6c8a0efb4215d82e19a1e4c0d085', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/cookies.sqlite'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Audio_49524.wma'), size=565345, hash='bbb40327229daeef90b4cf066438e923a483da21ddf43ae8f756873d8fc270a0', type='audio', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/audio/Audio_49524.wma'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Discounts by Verizon Wireless.pdf'), size=73432, hash='b72b54972fea8675c9072fa1eb6274e448deddbf83b29882b90c9368afdc24b7', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Discounts by Verizon Wireless.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Canady-Timothy-Resume-v1.3.pdf'), size=209081, hash='0af3d7d2240e87c9a879effe37bc2b38572401a0339ce3e4d1d4a61253c3c123', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Canady-Timothy-Resume-v1.3.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Simplify3D-4.0.1-windows-x64-installer.zip'), size=45754306, hash='861c1efda7f89d86f47afabe91fc8ff49c9d21285fb80374d939be53c03acf2b', type='archive', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/archive/Simplify3D-4.0.1-windows-x64-installer.zip'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/EOB.pdf'), size=557817, hash='af07ba0a400e6b95614764713f5b19ab5d1fd97a3789deb7c0428d7df93c70cb', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/EOB.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/datafile(3).csv'), size=8353, hash='1c9c6b725c7a3926a36c5a8a93044a795ba138e98593bb1c6e2415b818858c02', type='spreadsheet', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/spreadsheet/datafile(3).csv'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/drive-download-20200328T014420Z-001.zip'), size=196390, hash='dd8c7b4a46dc9ab5d5be82682c93c4feb748a4b97f34e6edeaa60ab84edfdfdc', type='archive', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/archive/drive-download-20200328T014420Z-001.zip'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/RHP-Dday.pdf'), size=437640, hash='c8fa76cdb0f87f6b87fba9c6d1247f68228e961937439b81236998595a886c72', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/RHP-Dday.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/history10.txt'), size=32056, hash='011cc2a6324140ca9b428e8b1adde8a83095b0155af2410485c1c434e39c9333', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/history10.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/76.0.1'), size=0, hash='e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/76.0.1'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/PW1.pdf'), size=46217, hash='3c60fdb556f663825c69889d372e90ae7912a75c69099116d92bbdec76a60553', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/PW1.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/TIC-TAC-TOE.fasl'), size=15952, hash='c4b219ef9490123c1575e8020cbd9d6829465cf6598757a4268170d1e3986b95', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/TIC-TAC-TOE.fasl'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Workbook1.txt'), size=5591029, hash='100d9cafb5d1c63becab4482ede5a6dc989f419f01f4c3616867a8941fc0c3f8', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/Workbook1.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/travelmusic.sh'), size=665, hash='40bb4e197a169d5d20564a49eedcf97c6abb214258bd5cf612f9ba278b63c0fd', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/travelmusic.sh'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/SENG593-SCRUM.mdzip'), size=287845, hash='21a0682d7742fd4d9fa86f23ba009e2f83ff3d22406a80e54e59c42dafe739c3', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/SENG593-SCRUM.mdzip'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/voicemail-2B12751C-83B1-43C0-A9BA-6EEB6CF09A44.m4a'), size=98347, hash='5cee395375f49b9069dd5391a990449ee0979baccbc26e8bc927c2db58bbcf71', type='audio', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/audio/voicemail-2B12751C-83B1-43C0-A9BA-6EEB6CF09A44.m4a'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Group 2_ISS_Decision_Brief_SENG640.pptx'), size=1950736, hash='0e2a87cd462d513a0464bf636bb3d9f18f82ef52426ac1f6fc2ac99f1cfb9644', type='presentation', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/presentation/Group 2_ISS_Decision_Brief_SENG640.pptx'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/SENG593-SCRUM.mdzip.bak'), size=287755, hash='8083dad93512e6e0553683fc0a387d84fff9d3545a4d15c299a10afbb6596502', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/SENG593-SCRUM.mdzip.bak'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/articles.docx'), size=594681, hash='acb4c0e9e055f6b148e0a61fe579b655a7a10e1a0b92b2807328f9ebfaf8a00a', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/articles.docx'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/music-list2.txt'), size=3094103, hash='923907da05f119931d4b1cdcb664026fbffa857447526be3662977883506a144', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/music-list2.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/ctbids_my-account_won.docx'), size=1984063, hash='e98b8dc281de76e7502995abda5829a7e2414750eb6a7c7c54dcb06bdbe7318f', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/ctbids_my-account_won.docx'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/rename.sh'), size=491, hash='996ca386a9bb74e76cbb89776c350f610c07a2315f7210db9dcadbeeeb905ceb', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/rename.sh'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/gridlines.xlsx'), size=42426, hash='039aa68ad62296cecb4bea3de4ada4f09af3694edf79128b576fcfa184f7ee57', type='spreadsheet', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/spreadsheet/gridlines.xlsx'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/SOC_Detection_Response__1678252953.pdf'), size=719018, hash='01b07001cbd50b1131205a83861ed36beb21dff25dc12933e4d500f688501d7b', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/SOC_Detection_Response__1678252953.pdf'))
